1,Корчагина Савелий,53,62763
6,Степанов Александр,30,99063
8,Максимов Руслан,66,80730
9,Николаева Николай,61,76895
10,Степанов Вячеслав,50,82508
16,Макаров Амина,63,96948
19,Иванова Константин,66,60172
20,Зайцева Илья,61,66409
22,Дубровина Ника,72,88399
23,Александрова Наталья,45,75073
24,Дмитриев Даниил,45,62863
25,Степанов Макар,53,59813
26,Дубровина Константин,50,70049
29,Дьяконов Мирослава,67,62433
30,Афанасьев Наталья,71,71474
33,Кулешова Марьяна,52,76137
34,Ефимова Аглая,42,67728
35,Жуков Глеб,73,94760
37,Алешин Игорь,63,87367
41,Фролов Вячеслав,75,68694
43,Зайцева Маргарита,48,74318
44,Майоров Марк,36,98065
46,Петров Олег,43,91951
50,Панова Адам,74,74657
51,Серова Екатерина,28,61883
